,US_County_FIPS,_class,n_species,n_red
160,01045,MAMMALIA,50,4
161,01045,REPTILIA,38,1
162,01047,AMPHIBIA,40,0
163,01047,AVES,110,2
164,01047,INSECTA,2,1
165,01047,LILIOPSIDA,11,1
166,01047,MAGNOLIOPSIDA,43,3
167,01047,MAMMALIA,52,4
168,01047,REPTILIA,36,1
169,01049,AMPHIBIA,41,1
170,01049,AVES,109,3
171,01049,INSECTA,3,1
172,01049,LILIOPSIDA,16,1
173,01049,MAGNOLIOPSIDA,36,3
174,01049,MAMMALIA,55,5
175,01049,POLYPODIOPSIDA,1,0
176,01049,REPTILIA,28,0
177,01051,AMPHIBIA,41,0
178,01051,AVES,109,2
179,01051,INSECTA,2,1
180,01051,LILIOPSIDA,12,1
181,01051,MAGNOLIOPSIDA,39,2
182,01051,MAMMALIA,53,4
183,01051,REPTILIA,39,1
184,01053,AMPHIBIA,48,2
185,01053,AVES,122,2
186,01053,INSECTA,2,1
187,01053,LILIOPSIDA,9,0
188,01053,MAGNOLIOPSIDA,30,1
189,01053,MAMMALIA,48,4
190,01053,REPTILIA,40,1
191,01055,AMPHIBIA,41,0
192,01055,AVES,108,2
193,01055,INSECTA,3,1
194,01055,LILIOPSIDA,15,1
195,01055,MAGNOLIOPSIDA,35,3
196,01055,MAMMALIA,52,5
197,01055,POLYPODIOPSIDA,1,0
198,01055,REPTILIA,32,0
199,01057,AMPHIBIA,38,0
200,01057,AVES,110,2
201,01057,INSECTA,2,1
202,01057,LILIOPSIDA,9,0
203,01057,MAGNOLIOPSIDA,37,3
204,01057,MAMMALIA,52,4
205,01057,REPTILIA,30,0
206,01059,AMPHIBIA,38,0
207,01059,AVES,111,2
208,01059,INSECTA,3,1
209,01059,LILIOPSIDA,9,0
210,01059,MAGNOLIOPSIDA,36,3
211,01059,MAMMALIA,54,5
212,01059,POLYPODIOPSIDA,1,0
213,01059,REPTILIA,31,0
214,01061,AMPHIBIA,47,2
215,01061,AVES,119,2
216,01061,INSECTA,2,1
217,01061,LILIOPSIDA,9,1
218,01061,MAGNOLIOPSIDA,30,1
219,01061,MAMMALIA,49,4
220,01061,REPTILIA,38,1
221,01063,AMPHIBIA,40,0
222,01063,AVES,110,2
223,01063,INSECTA,2,1
224,01063,LILIOPSIDA,11,1
225,01063,MAGNOLIOPSIDA,41,1
226,01063,MAMMALIA,51,4
227,01063,REPTILIA,33,0
228,01065,AMPHIBIA,40,0
229,01065,AVES,110,2
230,01065,INSECTA,2,1
231,01065,LILIOPSIDA,12,1
232,01065,MAGNOLIOPSIDA,42,2
233,01065,MAMMALIA,52,4
234,01065,REPTILIA,36,0
235,01067,AMPHIBIA,41,1
236,01067,AVES,112,2
237,01067,INSECTA,2,1
238,01067,LILIOPSIDA,10,1
239,01067,MAGNOLIOPSIDA,33,2
240,01067,MAMMALIA,51,4
241,01067,REPTILIA,37,1
242,01069,AMPHIBIA,42,2
243,01069,AVES,119,2
244,01069,INSECTA,2,1
245,01069,LILIOPSIDA,10,1
246,01069,MAGNOLIOPSIDA,32,1
247,01069,MAMMALIA,49,4
248,01069,REPTILIA,37,1
249,01071,AMPHIBIA,39,1
250,01071,AVES,112,3
251,01071,INSECTA,3,1
252,01071,LILIOPSIDA,18,1
253,01071,MAGNOLIOPSIDA,35,3
254,01071,MAMMALIA,53,5
255,01071,POLYPODIOPSIDA,1,0
256,01071,REPTILIA,27,0
257,01073,AMPHIBIA,45,1
258,01073,AVES,109,2
259,01073,INSECTA,2,1
260,01073,LILIOPSIDA,12,1
261,01073,MAGNOLIOPSIDA,38,3
262,01073,MAMMALIA,50,4
263,01073,REPTILIA,35,0
264,01075,AMPHIBIA,38,0
265,01075,AVES,110,2
266,01075,INSECTA,2,1
267,01075,LILIOPSIDA,7,0
268,01075,MAGNOLIOPSIDA,37,3
269,01075,MAMMALIA,51,4
270,01075,REPTILIA,32,0
271,01077,AMPHIBIA,40,1
272,01077,AVES,112,2
273,01077,INSECTA,3,1
274,01077,LILIOPSIDA,9,0
275,01077,MAGNOLIOPSIDA,35,3
276,01077,MAMMALIA,54,5
277,01077,POLYPODIOPSIDA,1,0
278,01077,REPTILIA,33,0
279,01079,AMPHIBIA,35,1
280,01079,AVES,111,2
281,01079,INSECTA,3,1
282,01079,LILIOPSIDA,11,0
283,01079,MAGNOLIOPSIDA,36,3
284,01079,MAMMALIA,51,5
285,01079,POLYPODIOPSIDA,1,0
286,01079,REPTILIA,29,0
287,01081,AMPHIBIA,44,1
288,01081,AVES,108,2
289,01081,INSECTA,2,1
290,01081,LILIOPSIDA,12,0
291,01081,MAGNOLIOPSIDA,37,1
292,01081,MAMMALIA,53,4
293,01081,REPTILIA,38,0
294,01083,AMPHIBIA,33,1
295,01083,AVES,113,2
296,01083,INSECTA,3,1
297,01083,LILIOPSIDA,12,0
298,01083,MAGNOLIOPSIDA,36,3
299,01083,MAMMALIA,51,5
300,01083,POLYPODIOPSIDA,1,0
301,01083,REPTILIA,27,0
302,01085,AMPHIBIA,40,0
303,01085,AVES,109,2
304,01085,INSECTA,2,1
305,01085,LILIOPSIDA,11,1
306,01085,MAGNOLIOPSIDA,38,3
307,01085,MAMMALIA,54,4
308,01085,REPTILIA,36,1
309,01087,AMPHIBIA,39,0
310,01087,AVES,107,2
311,01087,INSECTA,2,1
312,01087,LILIOPSIDA,13,1
313,01087,MAGNOLIOPSIDA,39,2
314,01087,MAMMALIA,53,4
315,01087,REPTILIA,38,0
316,01089,AMPHIBIA,35,1
317,01089,AVES,111,2
318,01089,INSECTA,3,1
319,01089,LILIOPSIDA,15,1
320,01089,MAGNOLIOPSIDA,37,3
321,01089,MAMMALIA,52,5
322,01089,POLYPODIOPSIDA,1,0
323,01089,REPTILIA,27,0
324,01091,AMPHIBIA,41,0
325,01091,AVES,112,2
326,01091,INSECTA,2,1
327,01091,LILIOPSIDA,10,1
328,01091,MAGNOLIOPSIDA,39,1
329,01091,MAMMALIA,51,4
330,01091,REPTILIA,35,0
331,01093,AMPHIBIA,37,0
332,01093,AVES,109,2
333,01093,INSECTA,3,1
334,01093,LILIOPSIDA,10,0
335,01093,MAGNOLIOPSIDA,37,3
336,01093,MAMMALIA,53,4
337,01093,POLYPODIOPSIDA,1,0
338,01093,REPTILIA,31,0
339,01095,AMPHIBIA,40,1
340,01095,AVES,109,2
341,01095,INSECTA,3,1
342,01095,LILIOPSIDA,16,1
343,01095,MAGNOLIOPSIDA,35,3
344,01095,MAMMALIA,53,5
345,01095,POLYPODIOPSIDA,1,0
346,01095,REPTILIA,30,0
347,01097,AMPHIBIA,44,1
348,01097,AVES,143,2
349,01097,INSECTA,2,1
350,01097,LILIOPSIDA,7,0
351,01097,MAGNOLIOPSIDA,34,1
352,01097,MAMMALIA,48,4
353,01097,REPTILIA,50,7
354,01099,AMPHIBIA,44,1
355,01099,AVES,114,2
356,01099,INSECTA,2,1
357,01099,LILIOPSIDA,10,1
358,01099,MAGNOLIOPSIDA,37,2
359,01099,MAMMALIA,51,4
360,01099,REPTILIA,43,2
361,01101,AMPHIBIA,42,0
362,01101,AVES,108,2
363,01101,INSECTA,2,1
364,01101,LILIOPSIDA,12,1
365,01101,MAGNOLIOPSIDA,36,2
366,01101,MAMMALIA,54,4
367,01101,REPTILIA,36,1
368,01103,AMPHIBIA,37,1
369,01103,AVES,110,2
370,01103,INSECTA,3,1
371,01103,LILIOPSIDA,15,1
372,01103,MAGNOLIOPSIDA,37,3
373,01103,MAMMALIA,52,5
374,01103,POLYPODIOPSIDA,1,0
375,01103,REPTILIA,30,0
376,01105,AMPHIBIA,40,0
377,01105,AVES,110,2
378,01105,INSECTA,2,1
379,01105,LILIOPSIDA,12,1
380,01105,MAGNOLIOPSIDA,41,3
381,01105,MAMMALIA,52,4
382,01105,REPTILIA,38,1
383,01107,AMPHIBIA,44,0
384,01107,AVES,109,2
385,01107,INSECTA,2,1
386,01107,LILIOPSIDA,10,1
387,01107,MAGNOLIOPSIDA,37,2
388,01107,MAMMALIA,51,4
389,01107,REPTILIA,34,0
390,01109,AMPHIBIA,41,1
391,01109,AVES,110,2
392,01109,INSECTA,2,1
393,01109,LILIOPSIDA,10,1
394,01109,MAGNOLIOPSIDA,37,3
395,01109,MAMMALIA,53,4
396,01109,REPTILIA,36,0
397,01111,AMPHIBIA,37,0
398,01111,AVES,109,3
399,01111,INSECTA,2,1
400,01111,LILIOPSIDA,11,1
401,01111,MAGNOLIOPSIDA,38,2
402,01111,MAMMALIA,52,4
403,01111,REPTILIA,34,1
404,01113,AMPHIBIA,44,1
405,01113,AVES,106,2
406,01113,INSECTA,2,1
407,01113,LILIOPSIDA,13,1
408,01113,MAGNOLIOPSIDA,35,1
409,01113,MAMMALIA,52,4
410,01113,REPTILIA,39,0
411,01115,AMPHIBIA,42,1
412,01115,AVES,108,2
413,01115,INSECTA,2,1
414,01115,LILIOPSIDA,13,1
415,01115,MAGNOLIOPSIDA,36,3
416,01115,MAMMALIA,50,4
417,01115,REPTILIA,33,1
418,01117,AMPHIBIA,46,1
419,01117,AVES,108,2
420,01117,INSECTA,2,1
421,01117,LILIOPSIDA,10,0
422,01117,MAGNOLIOPSIDA,39,3
423,01117,MAMMALIA,52,4
424,01117,REPTILIA,37,1
425,01119,AMPHIBIA,42,0
426,01119,AVES,111,2
427,01119,INSECTA,2,1
428,01119,LILIOPSIDA,10,1
429,01119,MAGNOLIOPSIDA,40,1
430,01119,MAMMALIA,50,4
431,01119,REPTILIA,34,0
432,01121,AMPHIBIA,42,1
433,01121,AVES,108,2
434,01121,INSECTA,2,1
435,01121,LILIOPSIDA,13,1
436,01121,MAGNOLIOPSIDA,39,3
437,01121,MAMMALIA,51,4
438,01121,REPTILIA,37,1
439,01123,AMPHIBIA,43,0
440,01123,AVES,110,2
441,01123,INSECTA,2,1
442,01123,LILIOPSIDA,12,0
443,01123,MAGNOLIOPSIDA,38,2
444,01123,MAMMALIA,53,4
445,01123,REPTILIA,36,0
446,01125,AMPHIBIA,43,0
447,01125,AVES,112,2
448,01125,INSECTA,2,1
449,01125,LILIOPSIDA,10,1
450,01125,MAGNOLIOPSIDA,42,3
451,01125,MAMMALIA,51,4
452,01125,REPTILIA,37,0
453,01127,AMPHIBIA,40,0
454,01127,AVES,108,2
455,01127,INSECTA,2,1
456,01127,LILIOPSIDA,10,0
457,01127,MAGNOLIOPSIDA,36,2
458,01127,MAMMALIA,50,4
459,01127,REPTILIA,32,0
460,01129,AMPHIBIA,45,1
461,01129,AVES,117,2
462,01129,INSECTA,2,1
463,01129,LILIOPSIDA,10,0
464,01129,MAGNOLIOPSIDA,33,1
465,01129,MAMMALIA,48,4
466,01129,REPTILIA,43,2
467,01131,AMPHIBIA,39,1
468,01131,AVES,110,2
469,01131,INSECTA,2,1
470,01131,LILIOPSIDA,12,1
471,01131,MAGNOLIOPSIDA,38,2
472,01131,MAMMALIA,51,4
473,01131,REPTILIA,36,0
474,01133,AMPHIBIA,36,0
475,01133,AVES,110,2
476,01133,INSECTA,3,1
477,01133,LILIOPSIDA,10,0
478,01133,MAGNOLIOPSIDA,39,3
479,01133,MAMMALIA,50,4
480,01133,POLYPODIOPSIDA,1,0
481,01133,REPTILIA,31,0
482,02013,AVES,66,7
483,02013,INSECTA,1,0
484,02013,LILIOPSIDA,1,0
485,02013,MAGNOLIOPSIDA,3,0
486,02013,MAMMALIA,31,4
487,02013,POLYPODIOPSIDA,1,0
488,02013,REPTILIA,3,3
489,02016,AVES,75,6
490,02016,INSECTA,1,0
491,02016,MAGNOLIOPSIDA,4,0
492,02016,MAMMALIA,15,4
493,02016,POLYPODIOPSIDA,1,0
494,02016,REPTILIA,3,3
495,02020,AMPHIBIA,2,0
496,02020,AVES,90,6
497,02020,INSECTA,1,0
498,02020,LILIOPSIDA,1,0
499,02020,MAGNOLIOPSIDA,4,0
500,02020,MAMMALIA,44,3
501,02020,POLYPODIOPSIDA,1,0
502,02020,REPTILIA,2,2
503,02050,AMPHIBIA,1,0
504,02050,AVES,101,8
505,02050,INSECTA,1,0
506,02050,LILIOPSIDA,1,0
507,02050,MAGNOLIOPSIDA,4,0
508,02050,MAMMALIA,49,5
509,02050,POLYPODIOPSIDA,1,0
510,02060,AMPHIBIA,1,0
511,02060,AVES,78,8
512,02060,INSECTA,1,0
513,02060,LILIOPSIDA,1,0
514,02060,MAGNOLIOPSIDA,3,0
515,02060,MAMMALIA,39,4
516,02060,POLYPODIOPSIDA,1,0
517,02068,AMPHIBIA,1,0
518,02068,AVES,78,5
519,02068,INSECTA,1,0
520,02068,LILIOPSIDA,1,0
521,02068,MAGNOLIOPSIDA,3,0
522,02068,MAMMALIA,40,2
523,02068,POLYPODIOPSIDA,1,0
524,02070,AMPHIBIA,1,0
525,02070,AVES,83,8
526,02070,INSECTA,1,0
527,02070,LILIOPSIDA,1,0
528,02070,MAGNOLIOPSIDA,4,0
529,02070,MAMMALIA,44,4
530,02070,POLYPODIOPSIDA,1,0
531,02090,AMPHIBIA,1,0
532,02090,AVES,73,3
533,02090,INSECTA,1,0
534,02090,LILIOPSIDA,1,0
535,02090,MAGNOLIOPSIDA,3,0
536,02090,MAMMALIA,40,2
537,02090,POLYPODIOPSIDA,1,0
538,02100,AMPHIBIA,5,0
539,02100,AVES,94,6
540,02100,INSECTA,1,0
541,02100,LILIOPSIDA,2,0
542,02100,MAGNOLIOPSIDA,10,0
543,02100,MAMMALIA,50,3
544,02100,POLYPODIOPSIDA,1,0
545,02100,REPTILIA,3,3
546,02105,AMPHIBIA,5,0
547,02105,AVES,94,6
548,02105,INSECTA,1,0
549,02105,LILIOPSIDA,2,0
550,02105,MAGNOLIOPSIDA,10,0
551,02105,MAMMALIA,47,3
552,02105,POLYPODIOPSIDA,1,0
553,02105,REPTILIA,3,3
554,02110,AMPHIBIA,5,0
555,02110,AVES,90,4
556,02110,INSECTA,1,0
557,02110,LILIOPSIDA,2,0
558,02110,MAGNOLIOPSIDA,9,0
559,02110,MAMMALIA,45,3
560,02110,POLYPODIOPSIDA,1,0
561,02110,REPTILIA,3,3
562,02122,AMPHIBIA,2,0
563,02122,AVES,95,7
564,02122,INSECTA,1,0
565,02122,LILIOPSIDA,1,0
566,02122,MAGNOLIOPSIDA,4,0
567,02122,MAMMALIA,47,4
