,US_County_FIPS,_class,n_species,n_red
1211,08085,AVES,46,0
1212,08085,MAMMALIA,1,0
1213,08087,AVES,53,1
1214,08087,MAMMALIA,1,0
1215,08089,AVES,53,0
1216,08089,MAMMALIA,1,0
1217,08091,AVES,45,0
1218,08091,MAMMALIA,1,0
1219,08093,AVES,50,1
1220,08093,MAMMALIA,1,0
1221,08095,AVES,53,1
1222,08095,MAMMALIA,1,0
1223,08097,AVES,45,0
1224,08097,MAMMALIA,1,0
1225,08099,AVES,53,0
1226,08099,MAMMALIA,1,0
1227,08101,AVES,50,0
1228,08101,MAMMALIA,1,0
1229,08103,AVES,48,0
1230,08103,MAMMALIA,1,0
1231,08105,AVES,47,0
1232,08105,MAMMALIA,1,0
1233,08107,AVES,47,1
1234,08107,MAMMALIA,1,0
1235,08109,AVES,49,0
1236,08109,MAMMALIA,1,0
1237,08111,AVES,44,0
1238,08111,MAMMALIA,1,0
1239,08113,AVES,47,0
1240,08113,MAMMALIA,1,0
1241,08115,AVES,53,1
1242,08115,MAMMALIA,1,0
1243,08117,AVES,47,0
1244,08117,MAMMALIA,1,0
1245,08119,AVES,50,1
1246,08119,MAMMALIA,1,0
1247,08121,AVES,55,1
1248,08121,MAMMALIA,1,0
1249,08123,AVES,54,1
1250,08123,MAMMALIA,1,0
1251,08125,AVES,54,1
1252,08125,MAMMALIA,1,0
1253,09001,ACTINOPTERYGII,71,8
1254,09001,ANTHOZOA,1,0
1255,09001,AVES,85,2
1256,09001,CEPHALASPIDOMORPHI,1,0
1257,09001,CHONDRICHTHYES,46,31
1258,09001,LILIOPSIDA,1,0
1259,09001,MALACOSTRACA,5,0
1260,09001,MAMMALIA,31,5
1261,09001,REPTILIA,7,7
1262,09003,ACTINOPTERYGII,17,5
1263,09003,AVES,71,2
1264,09003,CEPHALASPIDOMORPHI,1,0
1265,09003,MAMMALIA,1,0
1266,09003,REPTILIA,1,1
1267,09005,ACTINOPTERYGII,12,5
1268,09005,AVES,68,2
1269,09005,MAMMALIA,1,0
1270,09007,ACTINOPTERYGII,69,8
1271,09007,ANTHOZOA,1,0
1272,09007,AVES,83,2
1273,09007,CEPHALASPIDOMORPHI,1,0
1274,09007,CHONDRICHTHYES,46,31
1275,09007,LILIOPSIDA,1,0
1276,09007,MALACOSTRACA,5,0
1277,09007,MAMMALIA,30,5
1278,09007,REPTILIA,7,7
1279,09009,ACTINOPTERYGII,67,8
1280,09009,ANTHOZOA,1,0
1281,09009,AVES,85,2
1282,09009,CEPHALASPIDOMORPHI,1,0
1283,09009,CHONDRICHTHYES,46,31
1284,09009,LILIOPSIDA,1,0
1285,09009,MALACOSTRACA,5,0
1286,09009,MAMMALIA,30,5
1287,09009,REPTILIA,7,7
1288,09011,ACTINOPTERYGII,71,8
1289,09011,ANTHOZOA,1,0
1290,09011,AVES,84,2
1291,09011,CEPHALASPIDOMORPHI,1,0
1292,09011,CHONDRICHTHYES,47,32
1293,09011,LILIOPSIDA,1,0
1294,09011,MALACOSTRACA,5,0
1295,09011,MAMMALIA,30,5
1296,09011,REPTILIA,7,7
1297,09013,ACTINOPTERYGII,16,5
1298,09013,AVES,71,2
1299,09013,CEPHALASPIDOMORPHI,1,0
1300,09013,MAMMALIA,1,0
1301,09015,ACTINOPTERYGII,17,2
1302,09015,AVES,76,2
1303,09015,MAMMALIA,1,0
1304,10001,ACTINOPTERYGII,85,9
1305,10001,ANTHOZOA,1,0
1306,10001,AVES,89,2
1307,10001,CEPHALASPIDOMORPHI,1,0
1308,10001,CHONDRICHTHYES,49,32
1309,10001,LILIOPSIDA,1,0
1310,10001,MALACOSTRACA,5,0
1311,10001,MAMMALIA,30,5
1312,10001,REPTILIA,7,7
1313,10003,ACTINOPTERYGII,84,8
1314,10003,ANTHOZOA,1,0
1315,10003,AVES,88,2
1316,10003,CEPHALASPIDOMORPHI,1,0
1317,10003,CHONDRICHTHYES,44,30
1318,10003,LILIOPSIDA,1,0
1319,10003,MALACOSTRACA,5,0
1320,10003,MAMMALIA,30,5
1321,10003,REPTILIA,6,6
1322,10005,ACTINOPTERYGII,84,8
1323,10005,ANTHOZOA,1,0
1324,10005,AVES,94,2
1325,10005,CEPHALASPIDOMORPHI,1,0
1326,10005,CHONDRICHTHYES,47,31
1327,10005,LILIOPSIDA,1,0
1328,10005,MALACOSTRACA,5,0
1329,10005,MAMMALIA,30,5
1330,10005,REPTILIA,6,6
1331,11000,ACTINOPTERYGII,21,5
1332,11000,AVES,68,2
1333,11000,CEPHALASPIDOMORPHI,1,0
1334,11000,MAMMALIA,1,0
1335,11000,REPTILIA,4,4
1336,12001,ACTINOPTERYGII,30,4
1337,12001,AVES,71,2
1338,12001,CEPHALASPIDOMORPHI,1,0
1339,12001,GASTROPODA,5,0
1340,12001,MAMMALIA,1,0
1341,12003,ACTINOPTERYGII,17,5
1342,12003,AVES,63,2
1343,12003,CEPHALASPIDOMORPHI,1,0
1344,12003,GASTROPODA,3,0
1345,12003,MAMMALIA,1,0
1346,12005,ACTINOPTERYGII,168,11
1347,12005,ANTHOZOA,3,1
1348,12005,AVES,79,1
1349,12005,CHONDRICHTHYES,61,39
1350,12005,GASTROPODA,18,1
1351,12005,LILIOPSIDA,5,0
1352,12005,MAGNOLIOPSIDA,1,0
1353,12005,MALACOSTRACA,11,0
1354,12005,MAMMALIA,28,5
1355,12005,REPTILIA,6,5
1356,12007,ACTINOPTERYGII,15,4
1357,12007,AVES,65,2
1358,12007,CEPHALASPIDOMORPHI,1,0
1359,12007,GASTROPODA,3,0
1360,12007,MAMMALIA,1,0
1361,12009,ACTINOPTERYGII,226,13
1362,12009,ANTHOZOA,19,8
1363,12009,AVES,83,2
1364,12009,CEPHALASPIDOMORPHI,1,0
1365,12009,CHONDRICHTHYES,58,38
1366,12009,GASTROPODA,16,0
1367,12009,HYDROZOA,2,2
1368,12009,LILIOPSIDA,6,0
1369,12009,MAGNOLIOPSIDA,4,0
1370,12009,MALACOSTRACA,13,0
1371,12009,MAMMALIA,30,5
1372,12009,POLYPODIOPSIDA,1,0
1373,12009,REPTILIA,7,6
1374,12011,ACTINOPTERYGII,237,12
1375,12011,ANTHOZOA,55,22
1376,12011,AVES,76,1
1377,12011,CHONDRICHTHYES,66,40
1378,12011,GASTROPODA,20,0
1379,12011,HYDROZOA,2,2
1380,12011,LILIOPSIDA,6,0
1381,12011,MAGNOLIOPSIDA,4,0
1382,12011,MALACOSTRACA,18,0
1383,12011,MAMMALIA,29,5
1384,12011,POLYPODIOPSIDA,1,0
1385,12011,REPTILIA,7,6
1386,12013,ACTINOPTERYGII,27,2
1387,12013,AVES,74,1
1388,12013,GASTROPODA,5,0
1389,12013,MAMMALIA,1,0
1390,12013,REPTILIA,1,1
1391,12015,ACTINOPTERYGII,183,11
1392,12015,ANTHOZOA,29,10
1393,12015,AVES,78,1
1394,12015,CHONDRICHTHYES,60,37
1395,12015,GASTROPODA,18,2
1396,12015,HYDROZOA,2,2
1397,12015,LILIOPSIDA,5,0
1398,12015,MAGNOLIOPSIDA,4,0
1399,12015,MALACOSTRACA,13,0
1400,12015,MAMMALIA,29,5
1401,12015,POLYPODIOPSIDA,1,0
1402,12015,REPTILIA,8,7
1403,12017,ACTINOPTERYGII,174,11
1404,12017,ANTHOZOA,20,9
1405,12017,AVES,81,2
1406,12017,CHONDRICHTHYES,61,38
1407,12017,GASTROPODA,18,2
1408,12017,LILIOPSIDA,5,0
1409,12017,MAGNOLIOPSIDA,4,0
1410,12017,MALACOSTRACA,13,0
1411,12017,MAMMALIA,29,5
1412,12017,POLYPODIOPSIDA,1,0
1413,12017,REPTILIA,7,6
1414,12019,ACTINOPTERYGII,17,4
1415,12019,AVES,72,2
1416,12019,CEPHALASPIDOMORPHI,1,0
1417,12019,GASTROPODA,5,0
1418,12019,MAMMALIA,2,1
1419,12019,REPTILIA,2,2
1420,12021,ACTINOPTERYGII,192,11
1421,12021,ANTHOZOA,49,16
1422,12021,AVES,79,1
1423,12021,CHONDRICHTHYES,59,36
1424,12021,GASTROPODA,19,2
1425,12021,HYDROZOA,2,2
1426,12021,LILIOPSIDA,5,0
1427,12021,MAGNOLIOPSIDA,4,0
1428,12021,MALACOSTRACA,18,0
1429,12021,MAMMALIA,29,5
1430,12021,POLYPODIOPSIDA,2,0
1431,12021,REPTILIA,8,7
1432,12023,ACTINOPTERYGII,8,2
1433,12023,AVES,66,2
1434,12023,GASTROPODA,3,0
1435,12023,MAMMALIA,1,0
1436,12027,ACTINOPTERYGII,27,2
1437,12027,AVES,75,1
1438,12027,CHONDRICHTHYES,1,0
1439,12027,GASTROPODA,5,0
1440,12027,MAMMALIA,1,0
1441,12027,REPTILIA,4,3
1442,12029,ACTINOPTERYGII,171,11
1443,12029,ANTHOZOA,10,4
1444,12029,AVES,81,2
1445,12029,CHONDRICHTHYES,61,37
1446,12029,GASTROPODA,18,2
1447,12029,LILIOPSIDA,5,0
1448,12029,MAGNOLIOPSIDA,3,0
1449,12029,MALACOSTRACA,12,0
1450,12029,MAMMALIA,29,5
1451,12029,POLYPODIOPSIDA,1,0
1452,12029,REPTILIA,7,6
1453,12031,ACTINOPTERYGII,170,15
1454,12031,ANTHOZOA,8,2
1455,12031,AVES,82,2
1456,12031,CEPHALASPIDOMORPHI,1,0
1457,12031,CHONDRICHTHYES,55,37
1458,12031,GASTROPODA,15,0
