,US_County_FIPS,_class,n_species,n_red
151,01025,INSECTA,2,1
152,01025,LILIOPSIDA,4,0
153,01025,MAGNOLIOPSIDA,3,0
154,01025,MALACOSTRACA,47,1
155,01025,MAMMALIA,5,0
156,01025,REPTILIA,13,0
157,01027,ACTINOPTERYGII,110,11
158,01027,AMPHIBIA,38,0
159,01027,AVES,109,2
160,01027,BIVALVIA,23,1
161,01027,CEPHALASPIDOMORPHI,3,0
162,01027,GASTROPODA,14,0
163,01027,INSECTA,2,1
164,01027,LILIOPSIDA,4,0
165,01027,MAGNOLIOPSIDA,2,0
166,01027,MALACOSTRACA,26,0
167,01027,MAMMALIA,5,0
168,01027,REPTILIA,7,0
169,01029,ACTINOPTERYGII,92,7
170,01029,AMPHIBIA,34,0
171,01029,AVES,107,3
172,01029,BIVALVIA,23,1
173,01029,CEPHALASPIDOMORPHI,3,0
174,01029,GASTROPODA,15,0
175,01029,INSECTA,2,1
176,01029,LILIOPSIDA,4,0
177,01029,MAGNOLIOPSIDA,2,0
178,01029,MALACOSTRACA,30,1
179,01029,MAMMALIA,5,0
180,01029,REPTILIA,7,0
181,01031,ACTINOPTERYGII,90,4
182,01031,AMPHIBIA,45,2
183,01031,AVES,115,2
184,01031,BIVALVIA,17,1
185,01031,CEPHALASPIDOMORPHI,1,0
186,01031,GASTROPODA,19,0
187,01031,INSECTA,3,1
188,01031,LILIOPSIDA,4,0
189,01031,MAGNOLIOPSIDA,4,0
190,01031,MALACOSTRACA,35,1
191,01031,MAMMALIA,5,0
192,01031,REPTILIA,13,0
193,01033,ACTINOPTERYGII,157,15
194,01033,AMPHIBIA,38,2
195,01033,AVES,113,2
196,01033,BIVALVIA,48,12
197,01033,CEPHALASPIDOMORPHI,5,0
198,01033,GASTROPODA,18,0
199,01033,INSECTA,3,1
200,01033,LILIOPSIDA,4,0
201,01033,MAGNOLIOPSIDA,2,0
202,01033,MALACOSTRACA,46,8
203,01033,MAMMALIA,5,0
204,01033,POLYPODIOPSIDA,1,0
205,01033,REPTILIA,8,0
206,01035,ACTINOPTERYGII,149,9
207,01035,AMPHIBIA,45,1
208,01035,AVES,115,2
209,01035,BIVALVIA,28,4
210,01035,CEPHALASPIDOMORPHI,3,0
211,01035,GASTROPODA,16,0
212,01035,INSECTA,2,1
213,01035,LILIOPSIDA,4,0
214,01035,MAGNOLIOPSIDA,3,0
215,01035,MALACOSTRACA,44,1
216,01035,MAMMALIA,5,0
217,01035,REPTILIA,14,0
218,01037,ACTINOPTERYGII,109,8
219,01037,AMPHIBIA,43,1
220,01037,AVES,109,2
221,01037,BIVALVIA,21,1
222,01037,CEPHALASPIDOMORPHI,3,0
223,01037,GASTROPODA,19,1
224,01037,INSECTA,3,1
225,01037,LILIOPSIDA,4,0
226,01037,MAGNOLIOPSIDA,2,0
227,01037,MALACOSTRACA,27,0
228,01037,MAMMALIA,5,0
229,01037,REPTILIA,7,0
230,01039,ACTINOPTERYGII,106,4
231,01039,AMPHIBIA,50,2
232,01039,AVES,122,2
233,01039,BIVALVIA,22,2
234,01039,CEPHALASPIDOMORPHI,2,0
